Country,Code,Population,Rural,GNI,IncomeTop10,Imports,Exports,Military,Cell,Fertility66,Fertility16,Measles,InffMort,LifeExp,PM2.5,Diesel,CO2,EnergyUse,FossilPct,Forest94,Forest14,Deforestation,GunTotal,GunHomicide,GunSuicide,GunUnint,GunUndet,GunsePer100,logCO2,logGNI,logEnergyUse,logImports,logExports,newForest
Iceland,ISL,335439,5.77,54970,,42.04192031,48.37753985,0,120.7953103,3.59,1.8,91,1.6,82.46829268,7.29839004,1.63,6.059657407,17916.12042,10.92848727,87398,93086,-6.508158081,1.25,0,1.25,,,30.3,1.81802116,10.91454286,9.793456169,3.738667223,3.879035653,-2.551109186
Luxembourg,LUX,582014,9.568,71590,,186.1633283,221.2677755,0.444796124,132.6971743,2.34,1.47,99,2,82.29268293,16.09727607,1.03,17.36212137,6861.106667,83.14516459,8451.6,6450,23.68308959,1.19,0,1.16,0.22,0.39,15.3,2.860034042,11.17871068,8.833624029,5.226624397,5.399373622,4.866527468
New Zealand,NZL,4693200,13.678,38560,,25.50512294,25.81772178,1.106452776,124.4412748,3.41,1.87,92,4.5,81.61243902,5.525446595,0.79,7.686575825,4559.892232,59.89478765,49696,56400,-13.49001932,1.07,0.11,0.84,0.05,0,30,2.052401203,10.55997075,8.425054269,3.238879332,3.251061147,-3.672876164
Moldova,MDA,3551954,54.911,2140,22.7,71.26993213,43.33028058,0.43701116,93.32157194,2.801,1.241,88,13.7,71.61,19.94321337,0.69,1.386829142,928.3347725,88.68802224,220620,221808,-0.538482459,1.03,0.45,0.42,0.08,0.08,7.1,0.39664576,7.668561108,6.833392414,4.266474529,3.768851711,-0.73381364
Germany,DEU,82348669,24.49,44020,,38.14802564,46.11924111,1.195846122,126.3143677,2.53,1.5,97,3.2,80.64146341,13.45779609,1.2,8.889370395,3779.461921,79.71052694,12574,19498,-55.06600923,1.01,0.07,0.84,0.01,0.08,30.3,2.196042812,10.69239936,8.237336929,3.641474004,3.831230241,-7.420647494
Kyrgyz Republic,KGZ,6079500,64.15,1110,22.9,69.99816514,35.82540888,3.344017776,127.8352593,5.354,3.1,97,18.8,70.95121951,17.91030372,0.49,1.646395339,650.401508,69.3015104,1404,1628,-15.95441595,1.01,0.53,0.07,0.28,0.13,0.9,0.557553857,7.012115294,6.477589877,4.248469029,3.578657387,-3.99429793
Hungary,HUN,9814023,28.328,12500,,79.45581237,89.53683366,1.024265168,120.7789256,1.89,1.45,99,4.4,75.56829268,24.57068163,1.2,4.265574976,2314.496434,67.99283847,27556.2,28224,-2.423411065,0.95,0.11,0.81,0.02,0.02,5.5,1.473749905,9.433483923,7.74694742,4.375201048,4.49465009,-1.55673089
Australia,AUS,24210809,10.446,54130,,21.51844657,19.25302663,2.138763223,110.0520902,2.881,1.809,95,3.1,82.5,6.126806421,0.92,15.37013776,5328.223992,93.38683566,63372,61916,2.297544657,0.93,0.16,0.74,0.02,0.02,21.7,2.73891157,10.89914384,8.580773252,3.068910547,2.957668276,1.51576537
Ireland,IRL,4755335,36.465,53910,,99.57566052,121.5823551,0.328667682,103.1537143,3.94,1.92,92,3,81.60731707,9.168633218,1.29,7.313939808,2741.574884,84.58480464,250,250,0,0.8,0.25,0.28,0.08,,3.89,2.003361986,10.89507127,7.916287809,4.600917762,4.800591853,0
Bolivia,BOL,10887882,31.089,3080,32.1,31.91302884,24.48800571,1.627932972,92.82077083,6.477,2.878,99,29.5,69.125,22.04269225,0.55,1.932419499,788.8043534,85.19586623,182.5,175.8,3.671232877,0.74,0.74,,,,2.8,0.709226955,8.032684876,6.670518322,3.463014354,3.198183435,1.916046157
Spain,ESP,46484062,20.198,27580,,29.92940684,32.94660275,1.132965646,111.163326,2.91,1.33,97,2.7,82.83170732,9.960824015,1.13,5.033824487,2464.641291,71.53112185,12060,12478,-3.466003317,0.62,0.15,0.42,0.05,0,10.4,1.635850896,10.22484615,7.809801555,3.398841504,3.494888152,-1.861720526
Netherlands,NLD,17030314,8.968,46610,,71.44032301,82.448505,1.173059927,122.9740047,2.9,1.66,94,3.2,81.5097561,15.23005009,1.34,9.920138075,4325.523712,90.94545754,122084,126500.8,-3.617836899,0.58,0.29,0.28,0.01,0.01,3.9,2.304596876,10.74957039,8.372288501,4.268862458,4.412173917,-1.902061224
Zimbabwe,ZWE,16150362,67.723,890,,38.66856626,24.65789329,2.154427516,79.74388438,7.391,3.76,95,40,61.163,24.51303497,1.18,0.779955845,,,208560,143744,31.07786728,0.39,0.3,0.09,,,4.6,-0.127883549,6.791221463,,3.655027029,3.205097064,5.574752665
Kuwait,KWT,4052584,1.642,34890,,46.42906174,48.23228856,5.814227645,133.0708012,7.417,1.97,93,7.2,74.694,110.9572166,0.31,25.22386443,8956.820315,99.99999705,34.6,34.6,0,0.36,0.36,0,0,0,24.8,3.231747209,10.45995553,9.100170567,3.837925594,3.876028684,0
Azerbaijan,AZE,9757812,45.105,4760,,43.64966934,46.42764939,3.688527303,104.7671576,5.663,1.94,98,27.2,72.026,32.97762008,0.35,3.931560609,1502.078168,98.36599003,3510,3754,-6.951566952,0.3,0.27,0.01,0.02,,3.5,1.394153549,8.468002947,7.314604874,3.776195707,3.837895174,-2.636582438
India,IND,1324171354,66.864,1680,,21.03425691,19.31492239,2.494967862,85.1709257,5.794,2.326,88,34.6,68.56,75.80079116,0.81,1.730000432,637.4286299,73.46341619,0,0,,0.28,0.3,0.14,0.04,,4.2,0.604316203,7.426549072,6.457442318,3.04615239,2.960877978,
Poland,POL,37970087,39.469,12680,,48.21253424,52.25985494,1.943520978,138.6595006,2.34,1.32,96,4,77.45121951,25.59991261,1.04,7.517151585,2473.406883,90.0879643,23626,15150,35.87573013,0.26,0.04,0.09,0.03,0.1,1.3,2.030402492,9.447781228,7.813351784,3.875619034,3.956228484,5.989635225
Ukraine,UKR,45004645,30.085,2310,21.2,55.51934347,49.28809466,3.67198141,135.1956556,2.02,1.466,42,7.8,71.47634146,19.20606229,0.73,5.020747064,2334.407199,75.32772842,10,10,0,0.24,0.24,,,,6.6,1.633300339,7.745002804,7.755513262,4.016731491,3.897682564,0
United Kingdom,GBR,65595565,17.165,42370,,30.32708521,28.25522803,1.816510476,119.9773474,2.78,1.8,92,3.7,80.95609756,11.52028708,1.49,6.49744049,2776.844098,82.63407463,93684,96352,-2.847871568,0.23,0.06,0.15,0,0.02,6.6,1.886681769,10.65419584,7.929070345,3.412041215,3.341278504,-1.687563797
Belarus,BLR,9501534,22.954,5620,22.9,62.69997578,62.50934712,1.264152334,120.6731574,2.29,1.733,98,2.9,73.82682927,19.79873107,0.62,6.701957705,2928.520216,92.44037502,98464,116126,-17.93752031,0.23,0.14,,0.09,,7.3,1.917210469,8.634086943,7.982252529,4.138361061,4.1353161,-4.235270984
Singapore,SGP,5607283,0,52350,,142.0641456,168.1919704,3.190876826,150.4805285,4.46,1.2,95,2.2,82.79512195,25.02850236,0.77,10.30633191,5121.804318,97.52354251,560,536,4.285714286,0.16,0.02,0.12,0.02,0,0.5,2.342414458,10.86570722,8.541262062,4.956278685,5.125106008,2.070196678
Qatar,QAT,2569804,0.683,66670,,41.62544488,47.48857954,,142.1345363,6.988,1.907,99,7.3,78.184,148.2413983,0.38,45.42323996,18562.66691,100,336162,335618,0.161826738,0.15,0.15,,,,19.2,3.818222964,11.10751036,9.828907687,3.728711636,3.860489251,0.402276942
Romania,ROU,19702332,45.251,9520,22.2,42.23440194,41.33473988,1.408554536,115.78473,1.9,1.58,86,7.7,75.01219512,19.06441498,1.14,3.516153691,1591.667659,72.76394909,204414,156484,23.44751338,0.14,0.04,0.06,0.04,0,0.7,1.285410945,9.161150128,7.372537588,3.743235101,3.721703306,4.84226325
"Korea, Rep.",KOR,51245707,17.408,27690,,35.42863077,42.28420147,2.611357388,120.679705,4.941,1.172,98,2.9,82.02439024,28.68182353,1.05,11.57034541,5289.275832,82.3950038,8096,8250,-1.902173913,0.08,0.02,0.04,0.01,0.01,1.1,2.457051044,10.22882662,8.573436622,3.567520272,3.744413529,-1.379193211
Japan,JPN,126994511,6.072,38000,,15.14742988,16.11915257,0.939734417,130.6103289,1.58,1.44,96,2,83.98487805,13.15839601,0.88,9.538706103,3470.763129,94.68336459,1132,978,13.60424028,0.06,0,0.04,0.01,0.01,0.6,2.265786878,10.54534144,8.152129771,2.717830873,2.780008165,3.688392642
